latitude,longitude,elevation_m,slope,curvature,tpi_7,tpi_31,tpi_121,roughness_7,roughness_31,relief_31
43.98125,42.08125,1003.41925,0.11583256,0.0013115164,-15.017151,-3.7288818,-12.939087,16.656456,44.127655,205.10571
43.98125,42.09375,934.4608,0.12047597,0.0022813408,-16.099731,-77.0614,-106.37073,15.064445,49.45958,223.14624
43.98125,42.10625,1095.1259,0.15823726,-0.0021898777,18.277588,64.867676,18.897583,20.548723,60.269188,268.77362
43.98125,42.11875,1019.3105,0.15928298,0.00039772515,-5.616272,-4.892273,-90.47858,25.357445,63.724014,268.77362
43.98125,42.13125,1017.0182,0.13984023,-0.0016070368,16.008423,-10.602417,-120.350464,24.320772,61.29641,351.20117
43.98125,42.14375,1121.5111,0.21117821,-0.0010520001,17.52832,13.296387,-43.833008,30.72255,111.665794,487.76843
43.98125,42.15625,1137.6827,0.32286775,-0.0012357816,1.9204102,-51.67334,-64.70349,38.85872,110.6639,442.9577
43.98125,42.16875,1209.1058,0.11676142,0.0035880518,-19.27478,-27.015747,-32.256958,24.947445,80.69774,397.83093
43.98125,42.18125,1273.1382,0.086084925,0.00016677748,-0.37023926,1.9377441,1.4871826,10.776131,50.410812,249.05823
43.98125,42.19375,1294.085,0.181653,5.5304263e-05,-3.2226562,-21.500244,3.2983398,24.917364,57.974133,318.96143
43.98125,42.20625,1395.0458,0.18583539,0.0020179937,-20.40332,4.496826,100.54114,28.8704,71.65106,280.95056
43.98125,42.21875,1497.7985,0.045576338,-0.0007442016,12.007202,62.775513,213.3446,13.190906,48.2014,236.22107
43.98125,42.23125,1392.0425,0.6500138,0.00047240753,-3.2225342,-13.497681,124.476074,59.472683,57.788406,245.969
43.98125,42.24375,1264.3286,0.16424742,0.0006719766,-15.718018,-77.323,18.97461,30.2345,69.67424,298.85486
43.98125,42.25625,1199.0552,0.20443709,0.0010438097,-16.846436,-86.267456,-9.112183,28.206825,69.775536,317.54822
43.98125,42.26875,1136.4025,0.070256785,0.0030449328,-33.287354,-86.07422,-28.983154,24.38237,84.74889,383.51123
43.98125,42.28125,1165.4868,0.24467623,-0.00058599387,13.360596,33.188965,40.69983,33.902435,81.70144,400.85126
43.98125,42.29375,1119.5758,0.20308688,-0.00024252094,-1.9505615,59.440186,27.316528,30.71441,68.77681,274.25635
43.98125,42.30625,950.22217,0.14465682,0.002209018,-16.676208,-46.783875,-121.50635,25.459526,74.996666,275.82037
43.98125,42.31875,897.64185,0.037218474,0.00013426594,-2.4224854,-50.951294,-175.40381,6.0,52.245216,267.12695
43.98125,42.33125,956.3638,0.13627738,-0.00019138992,-2.6485596,-22.98462,-135.81787,30.402508,72.2089,330.0775
43.98125,42.34375,1011.5161,0.4084093,0.000687333,0.27020264,-33.010986,-104.49182,23.051573,67.27648,327.87006
43.98125,42.35625,1126.3492,0.16021433,-0.00061194977,2.2371826,-15.616699,-20.072632,20.778595,96.4041,447.2965
43.98125,42.36875,1362.4169,0.18724461,0.00018817419,-2.1652832,79.417114,187.44958,24.680458,103.18006,408.18896
43.98125,42.38125,1358.6178,0.25475428,-0.0017725177,10.070557,1.1999512,151.73633,24.872173,69.507195,314.77722
43.98125,42.39375,1321.9856,0.15646137,0.003283652,-23.396973,-39.817627,90.665405,29.276697,69.950874,286.79578
43.98125,42.40625,1396.3878,0.1224846,-0.00061642635,11.383667,37.195557,152.8722,21.38925,58.396275,251.25745
43.98125,42.41875,1396.9082,0.09873929,-0.0003204496,5.3117676,56.591064,152.49426,17.811514,55.13166,247.99341
43.98125,42.43125,1350.451,0.1761843,0.00045733055,-9.493286,26.604126,120.48047,21.462175,58.425167,232.62854
43.98125,42.44375,1353.6447,0.074993365,-0.0004479145,6.710205,35.23401,135.9856,12.539936,56.845184,233.45813
43.98125,42.45625,1342.7665,0.07413683,-0.00018977415,0.9124756,22.375244,138.73767,14.508618,48.06376,215.06213
43.98125,42.46875,1337.0039,0.06718335,-9.363007e-05,0.5449219,21.030396,148.93933,13.842868,46.252026,179.21387
43.98125,42.48125,1307.9546,0.117827795,1.918172e-05,-2.8823242,-4.0889893,137.57703,12.830627,44.3396,178.62085
43.98125,42.49375,1316.7856,0.0903692,-0.0008627118,9.134399,22.000732,161.11829,13.019217,46.483868,251.78345
43.98125,42.50625,1233.2184,0.44503495,0.0020151963,-14.772095,-3.5506592,90.24072,38.006577,74.350525,329.34216
43.98125,42.51875,1253.334,0.16565377,-0.0014029755,9.179932,54.26245,125.518555,30.452833,82.9646,303.59796
43.98125,42.53125,1274.7158,0.09416534,-0.00073175645,10.968506,73.31995,160.02588,18.17622,79.33316,294.89032
43.98125,42.54375,1253.192,0.08240932,-0.0007908511,8.988403,58.04297,152.60742,15.354153,69.8391,275.604
43.98125,42.55625,1249.0791,0.13665567,-0.0011974272,11.93811,57.58838,162.04822,23.84848,67.147224,260.17383
43.98125,42.56875,1264.277,0.008171381,-0.00032396312,6.731079,66.07483,185.9469,8.724964,63.218864,247.91449
43.98125,42.58125,1252.7474,0.023085851,-0.00044449136,5.0115967,56.787476,182.6073,5.3851647,61.24949,247.70831
43.98125,42.59375,1242.2416,0.09884529,7.5473145e-05,0.70666504,58.338745,182.27246,11.396272,60.280594,252.72424
43.98125,42.60625,1233.531,0.081959106,1.6229891e-05,2.96521,54.45996,182.14453,10.105692,53.959476,249.40979
43.98125,42.61875,1212.6783,0.036203906,0.00010447334,-0.9291992,36.843872,168.53162,8.551315,46.181705,223.05176
43.98125,42.63125,1194.7128,0.05277326,-6.649534e-06,-0.20410156,29.06372,157.59766,10.931605,38.436638,207.65204
43.98125,42.64375,1179.0383,0.07056448,5.908373e-05,-0.2927246,20.166138,146.60974,12.354149,33.85447,194.28107
43.98125,42.65625,1183.3245,0.04354247,-7.813485e-05,0.73205566,26.243164,154.38562,8.070006,36.25431,162.97107
43.98125,42.66875,1171.9211,0.03834534,-5.751343e-05,0.5253906,17.970215,150.31769,7.28869,36.31804,146.90198
